beta,mu,err_mu,sigma,err_sigma,H,err_H
1459,0.742913,0.00924489,0.616429,0.00776325,-0.444604,0.00540414
1460.5,0.74289,0.00924165,0.616524,0.00776044,-0.444597,0.00540238
1462,0.743299,0.00923525,0.616998,0.00775498,-0.44296,0.00539875
1463.5,0.742916,0.00923202,0.616585,0.00775217,-0.444594,0.00539699
1465,0.743442,0.00922564,0.616352,0.00774672,-0.443231,0.00539337
1466.5,0.743518,0.00922243,0.616459,0.00774393,-0.443226,0.0053916
1468,0.743167,0.00921607,0.617005,0.0077385,-0.442954,0.00538799
1469.5,0.743258,0.00921286,0.617286,0.00773573,-0.442945,0.00538622
1471,0.742952,0.00920652,0.616706,0.00773032,-0.444587,0.00538265
1472.5,0.742992,0.00920331,0.616605,0.00772754,-0.442967,0.00538088
1474,0.742969,0.00919699,0.616407,0.00772214,-0.442976,0.0053773
1475.5,0.743499,0.00919381,0.616978,0.00771938,-0.442969,0.00537554
1477,0.743115,0.00918751,0.616606,0.007714,-0.442971,0.00537196
1478.5,0.743185,0.00918433,0.616706,0.00771124,-0.442969,0.00537021
1480,0.74297,0.00917804,0.616326,0.00770588,-0.44298,0.00536664
1481.5,0.743381,0.00917488,0.616832,0.00770313,-0.442971,0.00536489
1483,0.743196,0.00916862,0.616354,0.00769778,-0.443217,0.00536134
1484.5,0.743024,0.00916545,0.616343,0.00769504,-0.442981,0.0053596
1486,0.742917,0.00915921,0.616465,0.00768971,-0.444602,0.00535607
1487.5,0.743179,0.00915606,0.617066,0.00768698,-0.442952,0.00535434
1489,0.743228,0.00914984,0.616702,0.00768167,-0.442971,0.0053508
1490.5,0.743054,0.00914669,0.616312,0.00767894,-0.44302,0.00534907
1492,0.743214,0.00914049,0.616273,0.00767365,-0.443225,0.00534555
1493.5,0.743325,0.00913736,0.616506,0.00767093,-0.443211,0.00534382
1495,0.743376,0.00913118,0.617164,0.00766566,-0.442955,0.00534031
1496.5,0.743353,0.00912806,0.616974,0.00766295,-0.442963,0.00533859
1498,0.743362,0.00912189,0.617059,0.0076577,-0.442959,0.00533508
1499.5,0.743426,0.00911878,0.616904,0.007655,-0.442969,0.00533337
