sum,mean,err
0.5159,1.71572,0.0343638
1.26762,1.71519,0.0343271
1.26762,1.71466,0.0342905
1.35461,1.71423,0.0342525
2.05579,1.71463,0.0342144
2.05579,1.71504,0.0341764
2.03357,1.71541,0.0341381
1.93274,1.71567,0.0340988
2.29707,1.71635,0.0340656
2.29707,1.71703,0.0340324
2.14181,1.71753,0.033996
2.14181,1.71803,0.0339598
1.90572,1.71825,0.0339207
1.90572,1.71847,0.0338817
0.537909,1.71709,0.0338702
1.72575,1.7171,0.0338307
2.29334,1.71777,0.0337979
2.88766,1.71913,0.033786
2.54103,1.72009,0.0337602
2.28093,1.72074,0.0337273
2.32098,1.72144,0.0336953
3.12373,1.72306,0.0336955
2.62102,1.7241,0.0336725
2.62102,1.72514,0.0336495
3.0944,1.72672,0.0336478
2.93686,1.72812,0.0336379
3.40748,1.73005,0.0336548
3.18422,1.73172,0.0336577
3.14964,1.73335,0.0336585
3.14964,1.73498,0.0336591
3.14964,1.7366,0.0336596
2.70164,1.73771,0.0336392
2.50658,1.73859,0.0336122
3.14747,1.7402,0.0336123
3.14747,1.7418,0.0336124
3.14747,1.74341,0.0336123
3.18765,1.74505,0.0336142
3.1394,1.74664,0.0336134
3.03414,1.7481,0.0336071
3.03414,1.74956,0.0336006
3.03414,1.75102,0.0335941
3.03414,1.75247,0.0335875
2.08723,1.75285,0.0335516
2.08723,1.75323,0.0335158
2.08723,1.7536,0.03348
1.85171,1.75371,0.0334425
