L2,generation
1.41069,787
1.4622,788
1.47082,789
1.47082,790
1.47082,791
1.47082,792
1.47082,793
1.47082,794
1.4691,795
1.46782,796
1.46782,797
1.4691,798
1.4413,799
1.33557,800
1.3343,801
1.3343,802
1.33557,803
1.33557,804
1.33557,805
1.33557,806
1.3343,807
1.3343,808
1.3343,809
1.33557,810
1.3343,811
1.3343,812
1.34905,813
1.34905,814
1.34905,815
1.3815,816
1.3815,817
1.3815,818
1.3815,819
1.3815,820
1.3815,821
1.3815,822
1.3815,823
1.37083,824
1.3343,825
1.3343,826
1.3343,827
1.3343,828
1.3343,829
1.3343,830
1.3343,831
1.3343,832
1.3343,833
1.3343,834
1.3343,835
1.34292,836
1.41408,837
1.34292,838
1.34292,839
1.34292,840
1.34292,841
1.34292,842
1.34292,843
1.34292,844
1.34292,845
1.34292,846
1.34292,847
1.34292,848
1.34292,849
1.34292,850
1.34292,851
1.34292,852
1.34292,853
1.34292,854
1.34292,855
1.35768,856
1.33685,857
1.33685,858
1.33685,859
1.34292,860
1.34292,861
1.37243,862
1.34292,863
1.34292,864
1.34292,865
1.34292,866
1.34292,867
1.34292,868
1.34292,869
1.34292,870
1.34292,871
1.34292,872
1.34292,873
1.39552,874
1.39552,875
1.39552,876
1.39552,877
1.39552,878
1.39552,879
1.39552,880
1.40329,881
1.52505,882
1.40119,883
1.40119,884
1.41009,885
1.41009,886
1.41209,887
1.41209,888
1.41209,889
1.41209,890
1.41209,891
1.41209,892
1.41209,893
1.39734,894
1.34292,895
1.34292,896
1.34292,897
1.34292,898
1.34292,899
1.34292,900
1.34292,901
1.34292,902
1.34292,903
1.34292,904
1.34292,905
1.34292,906
1.35416,907
1.35416,908
1.35416,909
1.35416,910
1.39734,911
1.34292,912
1.34292,913
1.35768,914
1.34292,915
1.34292,916
1.34292,917
1.34292,918
1.34292,919
1.34292,920
1.34292,921
1.34292,922
1.34292,923
1.34292,924
1.34292,925
1.34292,926
1.34292,927
1.34292,928
1.34292,929
1.34292,930
1.34292,931
1.34292,932
1.34292,933
1.34292,934
1.34292,935
1.34292,936
1.39786,937
1.39786,938
1.39786,939
1.44291,940
1.39786,941
1.39786,942
1.39786,943
1.39786,944
1.39786,945
1.40801,946
1.34292,947
1.34292,948
1.34292,949
1.34292,950
1.34292,951
1.34292,952
1.34292,953
1.34292,954
1.34292,955
1.34292,956
1.34292,957
1.34292,958
1.34292,959
1.34292,960
1.34292,961
1.34292,962
1.34292,963
1.34292,964
1.34292,965
1.34292,966
1.34292,967
1.34292,968
1.34292,969
1.34292,970
1.34292,971
1.34292,972
1.34292,973
1.34962,974
1.34962,975
1.34962,976
1.34962,977
1.40999,978
1.42474,979
1.34962,980
1.34962,981
1.34962,982
1.34962,983
1.34962,984
1.34962,985
1.34962,986
1.34962,987
1.34962,988
1.34962,989
1.34962,990
1.34962,991
1.34962,992
1.34962,993
1.34962,994
1.34962,995
1.34962,996
1.34962,997
1.54176,998
1.53216,999
1.4884,1000
1.4968,1001
1.4968,1002
1.4968,1003
1.4968,1004
1.4968,1005
1.4968,1006
1.4968,1007
1.4968,1008
1.4968,1009
1.4968,1010
1.52835,1011
1.52835,1012
1.52835,1013
1.52835,1014
1.52835,1015
1.63851,1016
1.5299,1017
1.48118,1018
1.50787,1019
1.48118,1020
1.48118,1021
1.48118,1022
1.48118,1023
1.48118,1024
1.39809,1025
1.47481,1026
1.47481,1027
1.47481,1028
1.47481,1029
1.47481,1030
1.47481,1031
1.47481,1032
1.47481,1033
1.47481,1034
1.47481,1035
1.47481,1036
1.47481,1037
1.47481,1038
1.47481,1039
1.47481,1040
1.47481,1041
1.47481,1042
1.47481,1043
1.5282,1044
1.50944,1045
1.50944,1046
1.50944,1047
1.50944,1048
1.50944,1049
1.50944,1050
1.50944,1051
1.50944,1052
1.50944,1053
1.51966,1054
1.50475,1055
1.50475,1056
1.50475,1057
1.50944,1058
1.50475,1059
1.50475,1060
1.50475,1061
1.51785,1062
1.50944,1063
1.50944,1064
1.50944,1065
1.50944,1066
1.51966,1067
1.45257,1068
1.45257,1069
1.45257,1070
1.45257,1071
1.45257,1072
1.45257,1073
1.51966,1074
1.45398,1075
1.45398,1076
1.45257,1077
1.45257,1078
1.45257,1079
1.45257,1080
1.45257,1081
1.45257,1082
1.45257,1083
1.45257,1084
1.45257,1085
1.45257,1086
1.45257,1087
1.45257,1088
1.45257,1089
1.45257,1090
1.45257,1091
1.45257,1092
1.45257,1093
1.45257,1094
1.45257,1095
1.45257,1096
1.45257,1097
1.45257,1098
1.45257,1099
1.45257,1100
1.6002,1101
1.40483,1102
1.45257,1103
1.45257,1104
1.45257,1105
1.40483,1106
1.40483,1107
1.40483,1108
1.40483,1109
1.42371,1110
1.42371,1111
1.42371,1112
1.42371,1113
1.41015,1114
1.41015,1115
1.41015,1116
1.39126,1117
1.39126,1118
1.39126,1119
1.39126,1120
1.39126,1121
1.39126,1122
1.39126,1123
1.39126,1124
1.39126,1125
1.39126,1126
1.39126,1127
1.39126,1128
1.39126,1129
1.39126,1130
1.39126,1131
1.39126,1132
1.39126,1133
1.39126,1134
1.39126,1135
1.39126,1136
1.39126,1137
1.39126,1138
1.39126,1139
1.39126,1140
1.39126,1141
1.39126,1142
1.39126,1143
1.39126,1144
1.40483,1145
1.39126,1146
1.39126,1147
1.39126,1148
1.39126,1149
1.39126,1150
1.39126,1151
1.39126,1152
1.39126,1153
1.39126,1154
1.39126,1155
1.39126,1156
1.39126,1157
1.39126,1158
1.39126,1159
1.39126,1160
1.39126,1161
1.39126,1162
1.39126,1163
1.39126,1164
1.40483,1165
1.39126,1166
1.39126,1167
1.39126,1168
1.39126,1169
1.39126,1170
1.39126,1171
1.39126,1172
1.39126,1173
1.39126,1174
1.39126,1175
1.39126,1176
1.39126,1177
1.39126,1178
1.39126,1179
1.39126,1180
1.40483,1181
1.39126,1182
1.39126,1183
1.39126,1184
1.39126,1185
1.39126,1186
1.39126,1187
1.39126,1188
1.39126,1189
1.39126,1190
1.39126,1191
1.39126,1192
1.39126,1193
1.39126,1194
1.39126,1195
1.39126,1196
1.39126,1197
1.39126,1198
1.4881,1199
1.39126,1200
1.39126,1201
1.39126,1202
1.39126,1203
1.39126,1204
1.39126,1205
1.39126,1206
1.39126,1207
1.39126,1208
1.39126,1209
1.39126,1210
1.39126,1211
1.39126,1212
1.39126,1213
1.39126,1214
1.39126,1215
1.39126,1216
1.39126,1217
1.39126,1218
1.39126,1219
1.39126,1220
1.39126,1221
1.39126,1222
1.39126,1223
1.39126,1224
1.39126,1225
1.39126,1226
1.39126,1227
1.39126,1228
1.40483,1229
1.39126,1230
1.39126,1231
1.39126,1232
1.39126,1233
1.39126,1234
1.39126,1235
1.39126,1236
1.39126,1237
1.39126,1238
1.39126,1239
1.39126,1240
1.39126,1241
1.39126,1242
1.39126,1243
1.39126,1244
1.39126,1245
1.39126,1246
1.39126,1247
1.39126,1248
1.39126,1249
1.39126,1250
1.39126,1251
1.39126,1252
1.40483,1253
1.39126,1254
1.39126,1255
1.39126,1256
1.39126,1257
1.39126,1258
1.39126,1259
1.39126,1260
1.39126,1261
1.39126,1262
1.39126,1263
1.39126,1264
1.39126,1265
1.39126,1266
1.39126,1267
1.39126,1268
1.39126,1269
1.39126,1270
1.39126,1271
1.39126,1272
1.42371,1273
1.39126,1274
1.39126,1275
1.39126,1276
1.45836,1277
1.42056,1278
1.40699,1279
1.40699,1280
1.39126,1281
1.39126,1282
1.39126,1283
1.39126,1284
1.39126,1285
1.39126,1286
1.39126,1287
1.39313,1288
1.39313,1289
1.39313,1290
1.40176,1291
1.40176,1292
1.40176,1293
1.40176,1294
1.40176,1295
1.40176,1296
1.39989,1297
1.40176,1298
1.40176,1299
1.40176,1300
1.41532,1301
1.39313,1302
1.39313,1303
1.39313,1304
1.39313,1305
1.39313,1306
1.39313,1307
1.39313,1308
1.39313,1309
1.39313,1310
1.39313,1311
1.39313,1312
1.39313,1313
1.39313,1314
1.39313,1315
1.39313,1316
1.39313,1317
1.4564,1318
1.44774,1319
1.47909,1320
1.44774,1321
1.39313,1322
1.44774,1323
1.39313,1324
1.39313,1325
1.44774,1326
1.39313,1327
1.44774,1328
1.39313,1329
1.45415,1330
1.45415,1331
1.45415,1332
1.54011,1333
1.45415,1334
1.45415,1335
1.45415,1336
1.45415,1337
1.45415,1338
1.60265,1339
1.44479,1340
1.41532,1341
1.39313,1342
1.39313,1343
1.39313,1344
1.39313,1345
1.39313,1346
1.39313,1347
1.39313,1348
1.39313,1349
1.39313,1350
1.39313,1351
1.39313,1352
1.39313,1353
1.39313,1354
1.39313,1355
1.39313,1356
1.39313,1357
1.39313,1358
1.39313,1359
1.39313,1360
1.39313,1361
1.39313,1362
1.39313,1363
1.39313,1364
1.39313,1365
1.39313,1366
1.39313,1367
1.44479,1368
1.44479,1369
1.44479,1370
1.44479,1371
1.54163,1372
1.44479,1373
1.44479,1374
1.44479,1375
1.44479,1376
1.44479,1377
1.44479,1378
1.44479,1379
1.44479,1380
1.44479,1381
1.44479,1382
1.44479,1383
1.44479,1384
1.44479,1385
1.44479,1386
1.44479,1387
1.44479,1388
1.44479,1389
1.44479,1390
1.44479,1391
1.44479,1392
1.44479,1393
1.44479,1394
1.44479,1395
1.44479,1396
1.44479,1397
1.44479,1398
1.44479,1399
1.44479,1400
1.44479,1401
1.44479,1402
1.44479,1403
1.44479,1404
1.44479,1405
1.44479,1406
1.44479,1407
1.49036,1408
1.47012,1409
1.47012,1410
1.47012,1411
1.47012,1412
1.46786,1413
1.38459,1414
1.37102,1415
1.37102,1416
1.39126,1417
1.39126,1418
1.39126,1419
1.39126,1420
1.39126,1421
1.39126,1422
1.39126,1423
1.39126,1424
1.39126,1425
1.39126,1426
1.39126,1427
1.39126,1428
1.39126,1429
1.39126,1430
1.39126,1431
1.39126,1432
1.40483,1433
1.39126,1434
1.39126,1435
1.39126,1436
1.39126,1437
1.39126,1438
1.39126,1439
1.39126,1440
1.39126,1441
1.39126,1442
1.39126,1443
1.39126,1444
1.39126,1445
1.39126,1446
1.39126,1447
1.39126,1448
1.39126,1449
1.39126,1450
1.40483,1451
1.39126,1452
1.39126,1453
1.39126,1454
1.39126,1455
1.39126,1456
1.39126,1457
1.39126,1458
1.39126,1459
1.39126,1460
1.39126,1461
1.39126,1462
1.39126,1463
1.39126,1464
1.39126,1465
1.39126,1466
1.39126,1467
1.39126,1468
1.48493,1469
1.41464,1470
1.41464,1471
1.41464,1472
1.46828,1473
1.46828,1474
1.46828,1475
1.46828,1476
1.46828,1477
1.46828,1478
1.46828,1479
1.47012,1480
1.47012,1481
1.54006,1482
1.46552,1483
1.46552,1484
1.46552,1485
1.46552,1486
1.46552,1487
1.46552,1488
1.46552,1489
1.46552,1490
1.47021,1491
1.46552,1492
1.46552,1493
1.46552,1494
1.46552,1495
1.48576,1496
1.46552,1497
1.46552,1498
1.46552,1499
1.46552,1500
1.46552,1501
1.46552,1502
1.46552,1503
1.46552,1504
1.47012,1505
1.44468,1506
1.44468,1507
1.44468,1508
1.44468,1509
1.44468,1510
1.44468,1511
1.46041,1512
1.46041,1513
1.46041,1514
1.50428,1515
1.46041,1516
1.46041,1517
1.46041,1518
1.46041,1519
1.64903,1520
1.54904,1521
1.45943,1522
1.45943,1523
1.45943,1524
1.45943,1525
1.45943,1526
1.45943,1527
1.45943,1528
1.57383,1529
1.54796,1530
1.45943,1531
1.54549,1532
1.45943,1533
1.45943,1534
1.45943,1535
1.35235,1536
1.35235,1537
1.35235,1538
1.35235,1539
1.35235,1540
1.35235,1541
1.35235,1542
1.40088,1543
1.46786,1544
1.40088,1545
1.40088,1546
1.40088,1547
1.46786,1548
1.46786,1549
1.46786,1550
1.40088,1551
1.40088,1552
1.40088,1553
1.40088,1554
1.53311,1555
1.46064,1556
1.46064,1557
1.46064,1558
1.46064,1559
1.46786,1560
1.46786,1561
1.46786,1562
1.46786,1563
1.46786,1564
1.46786,1565
1.46786,1566
1.46786,1567
1.4813,1568
1.4813,1569
1.4813,1570
1.52348,1571
1.51045,1572
1.51045,1573
1.51045,1574
1.51045,1575
1.57721,1576
1.43532,1577
1.37654,1578
1.37654,1579
1.39594,1580
1.39185,1581
1.39185,1582
1.39185,1583
1.39185,1584
1.39185,1585
1.39185,1586
1.37709,1587
1.37709,1588
1.37709,1589
1.37709,1590
1.37709,1591
1.37709,1592
1.45736,1593
1.45736,1594
1.45736,1595
1.45736,1596
1.45736,1597
1.45736,1598
1.45736,1599
1.46056,1600
1.55621,1601
1.45292,1602
1.54366,1603
1.47863,1604
1.37709,1605
1.3596,1606
1.37684,1607
1.3596,1608
1.3596,1609
1.3596,1610
1.3596,1611
1.3596,1612
1.3596,1613
1.54145,1614
1.44751,1615
1.42343,1616
1.42343,1617
1.42343,1618
1.43206,1619
1.43206,1620
1.43206,1621
1.43206,1622
1.43206,1623
1.43206,1624
1.43206,1625
1.43206,1626
1.43206,1627
1.43206,1628
1.56467,1629
1.54136,1630
1.5204,1631
1.54136,1632
1.53311,1633
1.48044,1634
1.41608,1635
1.48044,1636
1.41608,1637
1.47992,1638
1.44399,1639
1.38015,1640
1.38015,1641
1.38015,1642
1.38015,1643
1.38015,1644
1.38015,1645
1.38015,1646
1.42929,1647
1.42929,1648
1.49313,1649
1.44399,1650
1.38015,1651
1.38015,1652
1.38015,1653
1.38015,1654
1.38015,1655
1.38015,1656
1.38015,1657
1.38015,1658
1.38015,1659
1.38015,1660
1.42929,1661
1.42929,1662
